q,eta,NMSD_linear,EMSE_linear,finite_all_runs
1.0,1e-05,0.9955328201492071,0.757854901750875,True
1.0,2.5e-05,0.9776328030061845,0.5374424445261403,True
1.0,5e-05,0.9634645460734842,0.4091081787791818,True
1.0,0.0001,0.956742158499515,0.3191769126457042,True
1.0,0.0002,0.9755529396183197,0.2630388410206274,True
1.0,0.00025,0.9920075296120192,0.25091883932309494,True
1.0,0.00030000000000000003,1.01079242276449,0.24269059779907493,True
1.0,0.00035,1.030945012745745,0.23665925747810973,True
1.0,0.00039999999999999996,1.0517924489077473,0.23192927614089298,True
1.0,0.00045,1.0728493216695674,0.22799156737742052,True
1.0,0.0005,1.0937626771537035,0.22454288017986654,True
1.0,0.0005499999999999999,1.1142777746680268,0.2213981341849714,True
1.0,0.0006,1.1355848916560387,0.29927994655484613,True
1.0,0.00065,15911.311125707403,920547.9633554883,True
1.0,0.0007,inf,inf,False
1.0,0.0007499999999999999,inf,inf,False
1.0,0.0007999999999999999,inf,inf,False
1.0,0.001,inf,inf,False
1.0,0.0015,inf,inf,False
1.0,0.002,inf,inf,False
1.01,1e-05,0.9955007541038295,0.757777193387222,True
1.01,2.5e-05,0.9775209284143773,0.5373104351737648,True
1.01,5e-05,0.9631730615538607,0.4088965970442925,True
1.01,0.0001,0.9559627623256948,0.318797657432011,True
1.01,0.0002,0.9732894760314957,0.26225629706447434,True
1.01,0.00025,0.9887384153337296,0.2499007301128433,True
1.01,0.00030000000000000003,1.006339306949471,0.24141716911114072,True
1.01,0.00035,1.0251320491126203,0.23511359721510888,True
1.01,0.00039999999999999996,1.044449887264923,0.23009762471271594,True
1.01,0.00045,1.0638164676769148,0.2258634129522352,True
1.01,0.0005,1.0828900420551906,0.22211087558824916,True
1.01,0.0005499999999999999,1.1014284290003216,0.21865789747475672,True
1.01,0.0006,1.1205561492836673,0.29745923975541944,True
1.01,0.00065,15078.378883830352,939271.8325522743,True
1.01,0.0007,inf,inf,False
1.01,0.0007499999999999999,inf,inf,False
1.01,0.0007999999999999999,inf,inf,False
1.01,0.001,inf,inf,False
1.01,0.0015,inf,inf,False
1.01,0.002,inf,inf,False
1.05,1e-05,0.9953732442461879,0.7574670401398971,True
1.05,2.5e-05,0.9770793520734061,0.5367851083409033,True
1.05,5e-05,0.9620327129553888,0.40805845310345373,True
1.05,0.0001,0.9529484292162522,0.31730765879736705,True
1.05,0.0002,0.9646882546555026,0.2592321350849473,True
1.05,0.00025,0.9764243638201652,0.24600057090691188,True
1.05,0.00030000000000000003,0.9897180392479604,0.23658335438228184,True
1.05,0.00035,1.003641249031065,0.2293019282548237,True
1.05,0.00039999999999999996,1.0175721649388059,0.2232780074129687,True
1.05,0.00045,1.0310886534815678,0.21801957898037266,True
1.05,0.0005,1.0439086468090792,0.21323939996708652,True
1.05,0.0005499999999999999,1.0558516881139886,0.20876681388084956,True
1.05,0.0006,1.0679102910686422,0.2919253231750527,True
1.05,0.00065,13218.464385260997,1022779.1203699919,True
1.05,0.0007,inf,inf,False
1.05,0.0007499999999999999,inf,inf,False
1.05,0.0007999999999999999,inf,inf,False
1.05,0.001,inf,inf,False
1.05,0.0015,inf,inf,False
1.05,0.002,inf,inf,False
1.1,1e-05,0.9952155248403283,0.7570808652082741,True
1.1,2.5e-05,0.9765401619983298,0.5361344176430548,True
1.1,5e-05,0.960660719156538,0.40702849855382167,True
1.1,0.0001,0.9493863973763724,0.3155025772060984,True
1.1,0.0002,0.9547899467652811,0.25567127586192095,True
1.1,0.00025,0.9624422767159743,0.241476958642821,True
1.1,0.00030000000000000003,0.971110851370228,0.23106386752329794,True
1.1,0.00035,0.9799395637321423,0.22277225600222808,True
1.1,0.00039999999999999996,0.988388991374694,0.2157419847955069,True
1.1,0.00045,0.9961239072262007,0.20949739391440494,True
1.1,0.0005,1.0029483745266512,0.20376509893090436,True
1.1,0.0005499999999999999,1.008763293209905,0.1983855700967988,True
1.1,0.0006,1.0145466246025485,0.28819478116820185,True
1.1,0.00065,12683.955454748146,1143068.229829438,True
1.1,0.0007,inf,inf,False
1.1,0.0007499999999999999,inf,inf,False
1.1,0.0007999999999999999,inf,inf,False
1.1,0.001,inf,inf,False
1.1,0.0015,inf,inf,False
1.1,0.002,inf,inf,False
1.3,1e-05,0.9946022796668877,0.7555525885120565,True
1.3,2.5e-05,0.9745098050358442,0.5335941363895186,True
1.3,5e-05,0.9556592021625667,0.40308704927861017,True
1.3,0.0001,0.9368399650299657,0.3088365421053619,True
1.3,0.0002,0.9217366030661617,0.24342499996036554,True
1.3,0.00025,0.9171253387336631,0.2264835987699764,True
1.3,0.00030000000000000003,0.9127201519171455,0.21344396033044133,True
1.3,0.00035,0.9080589904958078,0.20270339737112653,True
1.3,0.00039999999999999996,0.9029605857779134,0.19344499614559438,True
1.3,0.00045,0.8973948075635673,0.18522129535976156,True
1.3,0.0005,0.8914103997666405,0.17777299661309626,True
1.3,0.0005499999999999999,0.8850928084326787,0.1709429930512391,True
1.3,0.0006,0.8796777050206639,0.29733484964908574,True
1.3,0.00065,16526.99538569241,1797817.601422459,True
1.3,0.0007,inf,inf,False
1.3,0.0007499999999999999,inf,inf,False
1.3,0.0007999999999999999,inf,inf,False
1.3,0.001,inf,inf,False
1.3,0.0015,inf,inf,False
1.3,0.002,inf,inf,False
1.5,1e-05,0.9940151803521113,0.7540495916557042,True
1.5,2.5e-05,0.9726495690816032,0.5311456776133476,True
1.5,5e-05,0.9512458409517599,0.3993955981150509,True
1.5,0.0001,0.926178829755618,0.3029139248289935,True
1.5,0.0002,0.8957589758906089,0.23366359997350683,True
1.5,0.00025,0.8831726290022422,0.2151850344714397,True
1.5,0.00030000000000000003,0.8711797787488255,0.20089923289317,True
1.5,0.00035,0.8596241564536529,0.18920782021662827,True
1.5,0.00039999999999999996,0.8485161583371991,0.17928226066238737,True
1.5,0.00045,0.8379201457857469,0.17065154422408169,True
1.5,0.0005,0.8279047051981793,0.16302552930811176,True
1.5,0.0005499999999999999,0.8185228452467759,0.15621342045839218,True
1.5,0.0006,0.8113200542357538,0.33566965686279837,True
1.5,0.00065,25026.97641710751,2843238.4424745427,True
1.5,0.0007,inf,inf,False
1.5,0.0007499999999999999,inf,inf,False
1.5,0.0007999999999999999,inf,inf,False
1.5,0.001,inf,inf,False
1.5,0.0015,inf,inf,False
1.5,0.002,inf,inf,False
2.0,1e-05,0.9926462299393431,0.7503949696022355,True
2.0,2.5e-05,0.968543353050259,0.5253720524227788,True
2.0,5e-05,0.9418524692795492,0.39105994493490864,True
2.0,0.0001,0.9045974678482502,0.2906169859247485,True
2.0,0.0002,0.8500600106318085,0.2166062755305621,True
2.0,0.00025,0.8282225672735543,0.19708198807411573,True
2.0,0.00030000000000000003,0.8095705985719948,0.1824635838131968,True
2.0,0.00035,0.7939173703129838,0.1710069285314098,True
2.0,0.00039999999999999996,0.7810039564878729,0.16174277405497417,True
2.0,0.00045,0.7705222627330565,0.15407447168438615,True
2.0,0.0005,0.7621509872255371,0.1476066838886847,True
2.0,0.0005499999999999999,0.7555819771915225,0.14206605610103137,True
2.0,0.0006,0.7539756156264533,0.5713053958316373,True
2.0,0.00065,78308.79025989801,9117782.761396203,True
2.0,0.0007,inf,inf,False
2.0,0.0007499999999999999,inf,inf,False
2.0,0.0007999999999999999,inf,inf,False
2.0,0.001,inf,inf,False
2.0,0.0015,inf,inf,False
2.0,0.002,inf,inf,False
2.5,1e-05,0.9913944510946439,0.7468749098612882,True
2.5,2.5e-05,0.9649788711569698,0.5200234233166372,True
2.5,5e-05,0.9339720520895356,0.38377282825317816,True
2.5,0.0001,0.8879003825850272,0.28108529996002624,True
2.5,0.0002,0.8222811357386564,0.20639088550733986,True
2.5,0.00025,0.7993355147505516,0.18762628996477304,True
2.5,0.00030000000000000003,0.7819071947089917,0.1741211010611997,True
2.5,0.00035,0.7690659980093512,0.1639382471197929,True
2.5,0.00039999999999999996,0.7599064373443242,0.15597881916232373,True
2.5,0.00045,0.75363622976598,0.1495660799426002,True
2.5,0.0005,0.7496031062300927,0.14426019482309213,True
2.5,0.0005499999999999999,0.7472881075212474,0.13976883442757687,True
2.5,0.0006,0.7544985280185436,1.1749507112901956,True
2.5,0.00065,254132.11038620168,29657878.08048438,True
2.5,0.0007,inf,inf,False
2.5,0.0007499999999999999,inf,inf,False
2.5,0.0007999999999999999,inf,inf,False
2.5,0.001,inf,inf,False
2.5,0.0015,inf,inf,False
2.5,0.002,inf,inf,False
3.0,1e-05,0.9902366089448343,0.743476714797446,True
3.0,2.5e-05,0.9617847339996335,0.5150393178443148,True
3.0,5e-05,0.92712627676899,0.3773571704331814,True
3.0,0.0001,0.8747278203532269,0.2736665872565296,True
3.0,0.0002,0.8059316199293315,0.20039998704354692,True
3.0,0.00025,0.7853281823895556,0.18294646359658123,True
3.0,0.00030000000000000003,0.7714449639872456,0.17076787728521228,True
3.0,0.00035,0.7625645464930403,0.16180552047912083,True
3.0,0.00039999999999999996,0.7573154408379021,0.15491145807640203,True
3.0,0.00045,0.7546691254089669,0.14939948289041874,True
3.0,0.0005,0.7538765591747129,0.1448395295211845,True
3.0,0.0005499999999999999,0.754398613815357,0.14095991015228115,True
3.0,0.0006,0.776084421028351,2.6926828437716335,True
3.0,0.00065,834758.7232396333,97209489.27794133,True
3.0,0.0007,inf,inf,False
3.0,0.0007499999999999999,inf,inf,False
3.0,0.0007999999999999999,inf,inf,False
3.0,0.001,inf,inf,False
3.0,0.0015,inf,inf,False
3.0,0.002,inf,inf,False
4.0,1e-05,0.988137680081566,0.7370071270480362,True
4.0,2.5e-05,0.9561675494458345,0.5060119100689263,True
4.0,5e-05,0.915717353492563,0.3666957664525791,True
4.0,0.0001,0.8562254341194256,0.2635178528125246,True
4.0,0.0002,0.7930775121294046,0.19558972906265543,True
4.0,0.00025,0.7794651064728492,0.18068787739184966,True
4.0,0.00030000000000000003,0.7725215338278671,0.17059115211060394,True
4.0,0.00035,0.7697848911951937,0.16325015899582107,True
4.0,0.00039999999999999996,0.7696914922014795,0.1575865140996356,True
4.0,0.00045,0.771256419189256,0.1529922173016709,True
4.0,0.0005,0.7738546060465408,0.14910644149166108,True
4.0,0.0005499999999999999,0.7770844580983465,0.14572867947787688,True
4.0,0.0006,0.9149378608007933,16.95660826539744,True
4.0,0.00065,9174813.658839896,1059964028.2928253,True
4.0,0.0007,inf,inf,False
4.0,0.0007499999999999999,inf,inf,False
4.0,0.0007999999999999999,inf,inf,False
4.0,0.001,inf,inf,False
4.0,0.0015,inf,inf,False
4.0,0.002,inf,inf,False
