q,eta,pre_NMSD_dB,post_transient_NMSD_dB,final_NMSD_dB,pre_EMSE_dB,post_transient_EMSE_dB,final_EMSE_dB
1.0,0.0005,-11.97600318814745,-0.8352311893623116,-8.45155047222386,-24.917979546304707,-8.855545261507876,-21.12438730404829
1.01,0.0005,-11.738893630506556,-0.9514076458384373,-8.57324929618677,-24.60323880067709,-8.948442405564313,-21.217475217897363
1.05,0.0005,-10.744124881976012,-1.3545828670352154,-8.759191949008347,-22.958567449196682,-9.273536264443955,-21.03719397594694
1.1,0.0005,-9.5822737580653,-1.7411422843299467,-8.525832934476567,-20.942744812085618,-9.589973522518353,-20.092177295980143
1.3,0.0005,-6.55395131767741,-2.46773026597057,-6.513097887091863,-16.226809872066383,-10.201970004823565,-16.255534870692138
